2005-01-03, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 14.08, RSI ~N/A, Net Advances 182, McClellan N/A, Score: 0/39
2017-03-14, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 12.30, RSI ~N/A, Net Advances 1210, McClellan -170, Score: 0/39
2017-03-15, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 11.63, RSI ~N/A, Net Advances 1224, McClellan -35, Score: 0/39
2017-03-16, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 11.21, RSI ~N/A, Net Advances 1225, McClellan -14, Score: 0/39
2017-03-17, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 11.28, RSI ~N/A, Net Advances 1229, McClellan 17, Score: 0/39
2017-03-20, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 11.34, RSI ~N/A, Net Advances 1225, McClellan -12, Score: 0/39
2017-03-21, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 12.47, RSI ~N/A, Net Advances 1214, McClellan -101, Score: 0/39
2017-03-22, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 12.81, RSI ~N/A, Net Advances 1215, McClellan -79, Score: 0/39
2017-03-23, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 13.12, RSI ~N/A, Net Advances 1220, McClellan -22, Score: 0/39
2017-03-24, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 12.96, RSI ~N/A, Net Advances 1220, McClellan -11, Score: 0/39
2017-03-27, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 12.50, RSI ~N/A, Net Advances 1220, McClellan -10, Score: 0/39
2017-03-28, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 11.53, RSI ~N/A, Net Advances 1229, McClellan 64, Score: 0/39
2017-03-29, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 11.42, RSI ~N/A, Net Advances 1232, McClellan 88, Score: 0/39
2017-03-30, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 11.54, RSI ~N/A, Net Advances 1237, McClellan 105, Score: 0/39
2017-03-31, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 12.37, RSI ~N/A, Net Advances 1239, McClellan 117, Score: 0/39
2017-04-03, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 12.38, RSI ~N/A, Net Advances 1235, McClellan 79, Score: 0/39
2017-04-04, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 11.79, RSI ~N/A, Net Advances 1235, McClellan 66, Score: 0/39
2017-04-05, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 12.89, RSI ~N/A, Net Advances 1228, McClellan 6, Score: 0/39
2017-04-06, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 12.39, RSI ~N/A, Net Advances 1238, McClellan 79, Score: 0/39
2017-04-07, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 12.87, RSI ~N/A, Net Advances 1237, McClellan 58, Score: 0/39
2017-04-10, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 14.05, RSI ~N/A, Net Advances 1243, McClellan 98, Score: 0/39
2017-04-11, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 15.07, RSI ~N/A, Net Advances 1247, McClellan 104, Score: 0/39
2017-04-12, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 15.77, RSI ~N/A, Net Advances 1240, McClellan 28, Score: 0/39
2017-04-13, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 15.96, RSI ~N/A, Net Advances 1231, McClellan -43, Score: 0/39
2017-04-17, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 14.66, RSI ~N/A, Net Advances N/A, McClellan -38, Score: 0/39
2017-04-18, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 14.42, RSI ~N/A, Net Advances 1230, McClellan -45, Score: 0/39
2017-04-19, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 14.93, RSI ~N/A, Net Advances 1229, McClellan -54, Score: 0/39
2017-04-20, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 14.15, RSI ~N/A, Net Advances 1238, McClellan 14, Score: 0/39
2017-04-21, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 14.63, RSI ~N/A, Net Advances 1235, McClellan -4, Score: 0/39
2017-04-24, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 10.84, RSI ~N/A, Net Advances 1244, McClellan 56, Score: 0/39
2017-04-25, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 10.76, RSI ~N/A, Net Advances 1252, McClellan 97, Score: 0/39
2017-04-26, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 10.85, RSI ~N/A, Net Advances 1255, McClellan 99, Score: 0/39
2017-04-27, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 10.36, RSI ~N/A, Net Advances 1255, McClellan 78, Score: 0/39
2017-04-28, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 10.82, RSI ~N/A, Net Advances 1250, McClellan 27, Score: 0/39
2017-05-01, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 10.11, RSI ~N/A, Net Advances 1252, McClellan 39, Score: 0/39
2017-05-02, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 10.59, RSI ~N/A, Net Advances 1253, McClellan 28, Score: 0/39
2017-05-03, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 10.68, RSI ~N/A, Net Advances 1248, McClellan -12, Score: 0/39
2017-05-04, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 10.46, RSI ~N/A, Net Advances 1245, McClellan -58, Score: 0/39
2017-05-05, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 10.57, RSI ~N/A, Net Advances 1253, McClellan 11, Score: 0/39
2017-05-08, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 9.77, RSI ~N/A, Net Advances 1251, McClellan -9, Score: 0/39
2017-05-09, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 9.96, RSI ~N/A, Net Advances 1248, McClellan -34, Score: 0/39
2017-05-10, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 10.21, RSI ~N/A, Net Advances 1253, McClellan 9, Score: 0/39
2017-05-11, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 10.60, RSI ~N/A, Net Advances 1247, McClellan -43, Score: 0/39
2017-05-12, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 10.40, RSI ~N/A, Net Advances 1244, McClellan -61, Score: 0/39
2017-05-15, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 10.42, RSI ~N/A, Net Advances 1253, McClellan 17, Score: 0/39
2017-05-16, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 10.65, RSI ~N/A, Net Advances 1251, McClellan -7, Score: 0/39
2017-05-17, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 15.59, RSI ~N/A, Net Advances 1240, McClellan -100, Score: 0/39
2017-05-18, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 14.66, RSI ~N/A, Net Advances 1241, McClellan -87, Score: 0/39
2017-05-19, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 12.04, RSI ~N/A, Net Advances 1251, McClellan -3, Score: 0/39
2017-05-22, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 10.93, RSI ~N/A, Net Advances 1258, McClellan 47, Score: 0/39
2017-05-23, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 10.72, RSI ~N/A, Net Advances 1262, McClellan 64, Score: 0/39
2017-05-24, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 10.02, RSI ~N/A, Net Advances 1265, McClellan 70, Score: 0/39
2017-05-25, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 9.99, RSI ~N/A, Net Advances 1266, McClellan 63, Score: 0/39
2017-05-26, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 9.81, RSI ~N/A, Net Advances 1266, McClellan 51, Score: 0/39
2017-05-30, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 10.38, RSI ~N/A, Net Advances N/A, McClellan 29, Score: 0/39
2017-05-31, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 10.41, RSI ~N/A, Net Advances 1267, McClellan 18, Score: 0/39
2017-06-01, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 9.89, RSI ~N/A, Net Advances 1279, McClellan 105, Score: 0/39
2017-06-02, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 9.75, RSI ~N/A, Net Advances 1283, McClellan 110, Score: 0/39
2017-06-05, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 10.07, RSI ~N/A, Net Advances 1277, McClellan 49, Score: 0/39
2017-06-06, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 10.45, RSI ~N/A, Net Advances 1275, McClellan 21, Score: 0/39
2017-06-07, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 10.39, RSI ~N/A, Net Advances 1275, McClellan 4, Score: 0/39
2017-06-08, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 10.16, RSI ~N/A, Net Advances 1278, McClellan 19, Score: 0/39
2017-06-09, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 10.70, RSI ~N/A, Net Advances 1283, McClellan 44, Score: 0/39
2017-06-12, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 11.46, RSI ~N/A, Net Advances N/A, McClellan 31, Score: 0/39
2017-06-13, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 10.42, RSI ~N/A, Net Advances 1290, McClellan 66, Score: 0/39
2017-06-14, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 10.64, RSI ~N/A, Net Advances 1288, McClellan 37, Score: 0/39
2017-06-15, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 10.90, RSI ~N/A, Net Advances 1284, McClellan -13, Score: 0/39
2017-06-16, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 10.38, RSI ~N/A, Net Advances 1286, McClellan 3, Score: 0/39
2017-06-19, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 10.37, RSI ~N/A, Net Advances 1292, McClellan 34, Score: 0/39
2017-06-20, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 10.86, RSI ~N/A, Net Advances 1283, McClellan -43, Score: 0/39
2017-06-21, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 10.75, RSI ~N/A, Net Advances 1277, McClellan -89, Score: 0/39
2017-06-22, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 10.48, RSI ~N/A, Net Advances 1280, McClellan -58, Score: 0/39
2017-06-23, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 10.02, RSI ~N/A, Net Advances 1286, McClellan -2, Score: 0/39
2017-06-26, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 9.90, RSI ~N/A, Net Advances 1290, McClellan 35, Score: 0/39
2017-06-27, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 11.06, RSI ~N/A, Net Advances 1284, McClellan -24, Score: 0/39
2017-06-28, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 10.03, RSI ~N/A, Net Advances 1293, McClellan 40, Score: 0/39
2017-06-29, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 11.44, RSI ~N/A, Net Advances 1285, McClellan -35, Score: 0/39
2017-06-30, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 11.18, RSI ~N/A, Net Advances 1290, McClellan -4, Score: 0/39
2017-07-03, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 11.22, RSI ~N/A, Net Advances 1297, McClellan 53, Score: 0/39
2017-07-05, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 11.07, RSI ~N/A, Net Advances N/A, McClellan 25, Score: 0/39
2017-07-06, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 12.54, RSI ~N/A, Net Advances 1285, McClellan -80, Score: 0/39
2017-07-07, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 11.19, RSI ~N/A, Net Advances 1293, McClellan -18, Score: 0/39
2017-07-10, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 11.11, RSI ~N/A, Net Advances 1293, McClellan -20, Score: 0/39
2017-07-11, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 10.89, RSI ~N/A, Net Advances 1294, McClellan -16, Score: 0/39
2017-07-12, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 10.30, RSI ~N/A, Net Advances 1303, McClellan 49, Score: 0/39
2017-07-13, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 9.90, RSI ~N/A, Net Advances 1304, McClellan 39, Score: 0/39
2017-07-14, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 9.51, RSI ~N/A, Net Advances 1312, McClellan 91, Score: 0/39
2017-07-17, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 9.82, RSI ~N/A, Net Advances 1314, McClellan 86, Score: 0/39
2017-07-18, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 9.89, RSI ~N/A, Net Advances 1312, McClellan 59, Score: 0/39
2017-07-19, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 9.79, RSI ~N/A, Net Advances 1321, McClellan 114, Score: 0/39
2017-07-20, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 9.58, RSI ~N/A, Net Advances 1322, McClellan 87, Score: 0/39
2017-07-21, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 9.36, RSI ~N/A, Net Advances 1320, McClellan 57, Score: 0/39
2017-07-24, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 9.43, RSI ~N/A, Net Advances 1318, McClellan 20, Score: 0/39
2017-07-25, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 9.43, RSI ~N/A, Net Advances 1324, McClellan 43, Score: 0/39
2017-07-26, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 9.60, RSI ~N/A, Net Advances 1324, McClellan 28, Score: 0/39
2017-07-27, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 10.11, RSI ~N/A, Net Advances 1321, McClellan -3, Score: 0/39
2017-07-28, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 10.29, RSI ~N/A, Net Advances 1322, McClellan -3, Score: 0/39
2017-07-31, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 10.26, RSI ~N/A, Net Advances 1323, McClellan -5, Score: 0/39
2017-08-01, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 10.09, RSI ~N/A, Net Advances 1326, McClellan 15, Score: 0/39
2017-08-02, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 10.28, RSI ~N/A, Net Advances 1322, McClellan -29, Score: 0/39
2017-08-03, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 10.44, RSI ~N/A, Net Advances 1320, McClellan -57, Score: 0/39
2017-08-04, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 10.03, RSI ~N/A, Net Advances 1323, McClellan -39, Score: 0/39
2017-08-07, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 9.93, RSI ~N/A, Net Advances 1323, McClellan -48, Score: 0/39
2017-08-08, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 10.96, RSI ~N/A, Net Advances 1318, McClellan -93, Score: 0/39
2017-08-09, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 11.11, RSI ~N/A, Net Advances 1310, McClellan -149, Score: 0/39
2017-08-10, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 16.04, RSI ~N/A, Net Advances 1296, McClellan -248, Score: 0/39
2017-08-11, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 15.51, RSI ~N/A, Net Advances 1297, McClellan -215, Score: 0/39
2017-08-14, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 12.33, RSI ~N/A, Net Advances 1308, McClellan -110, Score: 0/39
2017-08-15, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 12.04, RSI ~N/A, Net Advances 1302, McClellan -143, Score: 0/39
2017-08-16, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 11.74, RSI ~N/A, Net Advances 1306, McClellan -96, Score: 0/39
2017-08-17, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 15.55, RSI ~N/A, Net Advances 1293, McClellan -183, Score: 0/39
2017-08-18, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 14.26, RSI ~N/A, Net Advances 1293, McClellan -149, Score: 0/39
2017-08-21, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 13.19, RSI ~N/A, Net Advances 1294, McClellan -129, Score: 0/39
2017-08-22, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 11.35, RSI ~N/A, Net Advances 1302, McClellan -48, Score: 0/39
2017-08-23, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 12.25, RSI ~N/A, Net Advances 1302, McClellan -36, Score: 0/39
2017-08-24, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 12.23, RSI ~N/A, Net Advances 1302, McClellan -30, Score: 0/39
2017-08-25, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 11.28, RSI ~N/A, Net Advances 1309, McClellan 25, Score: 0/39
2017-08-28, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 11.32, RSI ~N/A, Net Advances 1308, McClellan 10, Score: 0/39
2017-08-29, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 11.70, RSI ~N/A, Net Advances 1307, McClellan -1, Score: 0/39
2017-08-30, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 11.22, RSI ~N/A, Net Advances 1310, McClellan 28, Score: 0/39
2017-08-31, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 10.59, RSI ~N/A, Net Advances 1319, McClellan 93, Score: 0/39
2017-09-01, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 10.13, RSI ~N/A, Net Advances 1327, McClellan 134, Score: 0/39
2017-09-05, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 12.23, RSI ~N/A, Net Advances N/A, McClellan 94, Score: 0/39
2017-09-06, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 11.63, RSI ~N/A, Net Advances 1331, McClellan 112, Score: 0/39
2017-09-07, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 11.55, RSI ~N/A, Net Advances 1332, McClellan 94, Score: 0/39
2017-09-08, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 12.12, RSI ~N/A, Net Advances 1332, McClellan 62, Score: 0/39
2017-09-11, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 10.73, RSI ~N/A, Net Advances 1343, McClellan 134, Score: 0/39
2017-09-12, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 10.58, RSI ~N/A, Net Advances 1348, McClellan 143, Score: 0/39
2017-09-13, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 10.50, RSI ~N/A, Net Advances 1347, McClellan 122, Score: 0/39
2017-09-14, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 10.44, RSI ~N/A, Net Advances 1347, McClellan 92, Score: 0/39
2017-09-15, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 10.17, RSI ~N/A, Net Advances 1352, McClellan 109, Score: 0/39
2017-09-18, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 10.15, RSI ~N/A, Net Advances 1354, McClellan 106, Score: 0/39
2017-09-19, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 10.18, RSI ~N/A, Net Advances 1356, McClellan 88, Score: 0/39
2017-09-20, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 9.78, RSI ~N/A, Net Advances 1358, McClellan 83, Score: 0/39
2017-09-21, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 9.67, RSI ~N/A, Net Advances 1355, McClellan 38, Score: 0/39
2017-09-22, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 9.59, RSI ~N/A, Net Advances 1360, McClellan 65, Score: 0/39
2017-09-25, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 10.21, RSI ~N/A, Net Advances 1363, McClellan 65, Score: 0/39
2017-09-26, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 10.17, RSI ~N/A, Net Advances 1365, McClellan 64, Score: 0/39
2017-09-27, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 9.87, RSI ~N/A, Net Advances 1369, McClellan 64, Score: 0/39
2017-09-28, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 9.55, RSI ~N/A, Net Advances 1372, McClellan 60, Score: 0/39
2017-09-29, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 9.51, RSI ~N/A, Net Advances 1375, McClellan 70, Score: 0/39
2017-10-02, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 9.45, RSI ~N/A, Net Advances 1382, McClellan 87, Score: 0/39
2017-10-03, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 9.51, RSI ~N/A, Net Advances 1385, McClellan 81, Score: 0/39
2017-10-04, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 9.63, RSI ~N/A, Net Advances 1384, McClellan 55, Score: 0/39
2017-10-05, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 9.19, RSI ~N/A, Net Advances 1389, McClellan 68, Score: 0/39
2017-10-06, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 9.65, RSI ~N/A, Net Advances 1385, McClellan 4, Score: 0/39
2017-10-09, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 10.33, RSI ~N/A, Net Advances 1382, McClellan -28, Score: 0/39
2017-10-10, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 10.08, RSI ~N/A, Net Advances 1388, McClellan 6, Score: 0/39
2017-10-11, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 9.85, RSI ~N/A, Net Advances 1391, McClellan 19, Score: 0/39
2017-10-12, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 9.91, RSI ~N/A, Net Advances 1391, McClellan 3, Score: 0/39
2017-10-13, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 9.61, RSI ~N/A, Net Advances 1394, McClellan 11, Score: 0/39
2017-10-16, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 9.91, RSI ~N/A, Net Advances 1394, McClellan -5, Score: 0/39
2017-10-17, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 10.31, RSI ~N/A, Net Advances 1391, McClellan -39, Score: 0/39
2017-10-18, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 10.07, RSI ~N/A, Net Advances 1392, McClellan -41, Score: 0/39
2017-10-19, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 10.05, RSI ~N/A, Net Advances 1392, McClellan -46, Score: 0/39
2017-10-20, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 9.97, RSI ~N/A, Net Advances 1396, McClellan -21, Score: 0/39
2017-10-23, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 11.07, RSI ~N/A, Net Advances 1390, McClellan -78, Score: 0/39
2017-10-24, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 11.16, RSI ~N/A, Net Advances 1393, McClellan -67, Score: 0/39
2017-10-25, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 11.23, RSI ~N/A, Net Advances 1384, McClellan -142, Score: 0/39
2017-10-26, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 11.30, RSI ~N/A, Net Advances 1385, McClellan -125, Score: 0/39
2017-10-27, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 9.80, RSI ~N/A, Net Advances 1389, McClellan -81, Score: 0/39
2017-10-30, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 10.50, RSI ~N/A, Net Advances 1383, McClellan -112, Score: 0/39
2017-10-31, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 10.18, RSI ~N/A, Net Advances 1388, McClellan -69, Score: 0/39
2017-11-01, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 10.20, RSI ~N/A, Net Advances 1388, McClellan -62, Score: 0/39
2017-11-02, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 9.93, RSI ~N/A, Net Advances 1389, McClellan -62, Score: 0/39
2017-11-03, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 9.14, RSI ~N/A, Net Advances 1388, McClellan -68, Score: 0/39
2017-11-06, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 9.40, RSI ~N/A, Net Advances 1392, McClellan -40, Score: 0/39
2017-11-07, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 9.89, RSI ~N/A, Net Advances 1388, McClellan -64, Score: 0/39
2017-11-08, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 9.78, RSI ~N/A, Net Advances 1389, McClellan -60, Score: 0/39
2017-11-09, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 10.50, RSI ~N/A, Net Advances 1384, McClellan -96, Score: 0/39
2017-11-10, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 11.29, RSI ~N/A, Net Advances 1382, McClellan -110, Score: 0/39
2017-11-13, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 11.50, RSI ~N/A, Net Advances 1380, McClellan -116, Score: 0/39
